51.002;1.999;danger;
51.052;2.37;danger;
51.052;2.37;danger;
51.002;1.999;danger;
51.052;2.37;danger;
51.002;1.999;danger;
51.002;1.999;danger;
51.052;2.37;danger;
51.052;2.37;danger;
51.002;1.999;danger;
51.052;2.37;danger;
51.002;1.999;danger;
51.052;2.37;danger;
51.002;1.999;danger;
51.052;2.37;danger;
51.052;2.29;danger;
51.052;2.29;danger;
51.052;2.37;danger;
51.052;2.37;danger;
51.052;2.29;danger;
51.052;2.37;danger;
51.052;2.29;danger;
51.052;2.37;danger;
51.052;2.29;danger;
